"from","to","weight","language"
"10","52",1,"SPA"
"12","52",3,"SPA"
"15","52",3,"SPA"
"17","52",1,"SPA"
"18","52",18,"SPA"
"19","52",1,"SPA"
"20","52",7,"SPA"
"21","52",6,"SPA"
"22","52",5,"SPA"
"23","52",1,"SPA"
"24","52",4,"SPA"
"25","52",1,"SPA"
"26","52",1,"SPA"
"27","52",1,"SPA"
"28","52",2,"SPA"
"29","52",6,"SPA"
"34","52",2,"SPA"
"35","52",4,"SPA"
"37","52",3,"SPA"
"41","52",1,"SPA"
"45","52",4,"SPA"
"50","52",4,"SPA"
"2","53",17,"SPA"
"3","53",6,"SPA"
"4","53",16,"SPA"
"5","53",10,"SPA"
"6","53",3,"SPA"
"7","53",3,"SPA"
"8","53",7,"SPA"
"9","53",6,"SPA"
"11","53",1,"SPA"
"12","53",6,"SPA"
"14","53",1,"SPA"
"15","53",2,"SPA"
"18","53",14,"SPA"
"19","53",2,"SPA"
"20","53",1,"SPA"
"22","53",2,"SPA"
"23","53",2,"SPA"
"25","53",1,"SPA"
"26","53",4,"SPA"
"30","53",1,"SPA"
"33","53",2,"SPA"
"36","53",4,"SPA"
"37","53",1,"SPA"
"39","53",1,"SPA"
"43","53",1,"SPA"
"46","53",1,"SPA"
"47","53",1,"SPA"
"49","53",1,"SPA"
"51","53",1,"SPA"
"1","54",7,"SPA"
"2","54",10,"SPA"
"3","54",6,"SPA"
"4","54",15,"SPA"
"6","54",3,"SPA"
"7","54",11,"SPA"
"8","54",21,"SPA"
"9","54",3,"SPA"
"10","54",2,"SPA"
"12","54",12,"SPA"
"15","54",1,"SPA"
"17","54",1,"SPA"
"19","54",1,"SPA"
"22","54",1,"SPA"
"24","54",1,"SPA"
"25","54",1,"SPA"
"27","54",3,"SPA"
"28","54",2,"SPA"
"29","54",2,"SPA"
"41","54",2,"SPA"
"42","54",5,"SPA"
"44","54",1,"SPA"
"45","54",1,"SPA"
"48","54",1,"SPA"
"50","54",1,"SPA"
"1","55",31,"SPA"
"2","55",1,"SPA"
"3","55",11,"SPA"
"4","55",12,"SPA"
"5","55",1,"SPA"
"6","55",22,"SPA"
"7","55",6,"SPA"
"8","55",3,"SPA"
"10","55",2,"SPA"
"11","55",1,"SPA"
"13","55",8,"SPA"
"14","55",11,"SPA"
"15","55",7,"SPA"
"16","55",11,"SPA"
"17","55",8,"SPA"
"18","55",2,"SPA"
"19","55",1,"SPA"
"22","55",1,"SPA"
