"from","to","weight","language"
"10","41",4,"EUS"
"14","41",1,"EUS"
"17","41",1,"EUS"
"22","41",4,"EUS"
"26","41",1,"EUS"
"28","41",1,"EUS"
"40","41",2,"EUS"
"1","42",12,"EUS"
"3","42",1,"EUS"
"5","42",1,"EUS"
"6","42",11,"EUS"
"9","42",5,"EUS"
"14","42",8,"EUS"
"16","42",1,"EUS"
"17","42",1,"EUS"
"18","42",1,"EUS"
"22","42",4,"EUS"
"25","42",1,"EUS"
"28","42",1,"EUS"
"34","42",1,"EUS"
"35","42",3,"EUS"
"37","42",1,"EUS"
"1","43",5,"EUS"
"3","43",1,"EUS"
"4","43",1,"EUS"
"6","43",1,"EUS"
"7","43",5,"EUS"
"8","43",2,"EUS"
"9","43",9,"EUS"
"10","43",4,"EUS"
"11","43",2,"EUS"
"15","43",2,"EUS"
"16","43",1,"EUS"
"17","43",2,"EUS"
"18","43",1,"EUS"
"21","43",1,"EUS"
"24","43",1,"EUS"
"25","43",1,"EUS"
"29","43",1,"EUS"
"30","43",4,"EUS"
"35","43",1,"EUS"
"37","43",2,"EUS"
"41","43",1,"EUS"
"9","44",1,"EUS"
"11","44",2,"EUS"
"15","44",1,"EUS"
"22","44",3,"EUS"
"39","44",2,"EUS"
"1","45",10,"EUS"
"2","45",4,"EUS"
"3","45",7,"EUS"
"4","45",4,"EUS"
"5","45",1,"EUS"
"6","45",1,"EUS"
"8","45",13,"EUS"
"11","45",2,"EUS"
"16","45",1,"EUS"
"17","45",1,"EUS"
"21","45",1,"EUS"
"23","45",1,"EUS"
"26","45",1,"EUS"
"30","45",1,"EUS"
"32","45",1,"EUS"
"34","45",9,"EUS"
"38","45",1,"EUS"
"1","46",10,"EUS"
"2","46",2,"EUS"
"4","46",1,"EUS"
"5","46",1,"EUS"
"7","46",2,"EUS"
"9","46",3,"EUS"
"15","46",1,"EUS"
"21","46",1,"EUS"
"29","46",1,"EUS"
"30","46",1,"EUS"
"33","46",1,"EUS"
"39","46",2,"EUS"
"1","47",3,"EUS"
"2","47",1,"EUS"
"4","47",1,"EUS"
"5","47",1,"EUS"
"7","47",1,"EUS"
"10","47",1,"EUS"
"15","47",1,"EUS"
"16","47",1,"EUS"
"17","47",3,"EUS"
"18","47",1,"EUS"
"32","47",1,"EUS"
"34","47",2,"EUS"
"1","48",13,"EUS"
"6","48",4,"EUS"
"7","48",1,"EUS"
"8","48",1,"EUS"
"9","48",2,"EUS"
"14","48",2,"EUS"
"16","48",2,"EUS"
"17","48",1,"EUS"
"18","48",1,"EUS"
"22","48",7,"EUS"
"35","48",1,"EUS"
"38","48",1,"EUS"
"44","48",1,"EUS"
"1","49",8,"EUS"
"2","49",1,"EUS"
"3","49",2,"EUS"
"4","49",1,"EUS"
"5","49",2,"EUS"
"7","49",1,"EUS"
"19","49",1,"EUS"
"20","49",1,"EUS"
"21","49",1,"EUS"
"28","49",1,"EUS"
"30","49",1,"EUS"
"1","50",7,"EUS"
"2","50",1,"EUS"
"3","50",6,"EUS"
"4","50",4,"EUS"
"5","50",1,"EUS"
"6","50",4,"EUS"
"7","50",2,"EUS"
"9","50",6,"EUS"
"10","50",1,"EUS"
"11","50",2,"EUS"
"13","50",1,"EUS"
"17","50",1,"EUS"
"19","50",1,"EUS"
"22","50",2,"EUS"
"29","50",2,"EUS"
"30","50",1,"EUS"
"36","50",1,"EUS"
"38","50",2,"EUS"
"48","50",1,"EUS"
"1","51",6,"EUS"
"5","51",1,"EUS"
"6","51",2,"EUS"
"7","51",9,"EUS"
"8","51",1,"EUS"
"9","51",1,"EUS"
"11","51",1,"EUS"
"14","51",3,"EUS"
"15","51",15,"EUS"
"17","51",1,"EUS"
"19","51",2,"EUS"
"20","51",1,"EUS"
"21","51",1,"EUS"
"28","51",3,"EUS"
"32","51",1,"EUS"
"35","51",1,"EUS"
"45","51",1,"EUS"
"48","51",2,"EUS"
"1","52",4,"EUS"
"6","52",1,"EUS"
"7","52",3,"EUS"
"9","52",8,"EUS"
"10","52",1,"EUS"
"11","52",2,"EUS"
"14","52",2,"EUS"
"15","52",2,"EUS"
"17","52",2,"EUS"
"18","52",1,"EUS"
"20","52",1,"EUS"
"21","52",1,"EUS"
"22","52",1,"EUS"
"26","52",2,"EUS"
"35","52",3,"EUS"
"39","52",2,"EUS"
"46","52",1,"EUS"
"48","52",1,"EUS"
"1","53",6,"EUS"
"3","53",1,"EUS"
"4","53",35,"EUS"
"5","53",1,"EUS"
"6","53",1,"EUS"
"7","53",1,"EUS"
"10","53",3,"EUS"
"12","53",2,"EUS"
"13","53",9,"EUS"
"17","53",1,"EUS"
"19","53",4,"EUS"
"21","53",1,"EUS"
"31","53",1,"EUS"
"35","53",7,"EUS"
"42","53",1,"EUS"
"1","54",5,"EUS"
"2","54",22,"EUS"
"3","54",1,"EUS"
"4","54",3,"EUS"
"5","54",4,"EUS"
"7","54",4,"EUS"
"9","54",2,"EUS"
"11","54",15,"EUS"
"12","54",3,"EUS"
"13","54",2,"EUS"
"17","54",1,"EUS"
"20","54",5,"EUS"
"21","54",4,"EUS"
"28","54",2,"EUS"
"29","54",1,"EUS"
"30","54",7,"EUS"
"41","54",1,"EUS"
"42","54",1,"EUS"
"43","54",3,"EUS"
"44","54",1,"EUS"
"48","54",5,"EUS"
"51","54",2,"EUS"
"1","55",5,"EUS"
"2","55",2,"EUS"
"3","55",1,"EUS"
"8","55",1,"EUS"
"9","55",1,"EUS"
"10","55",1,"EUS"
"12","55",1,"EUS"
"15","55",3,"EUS"
"17","55",2,"EUS"
"19","55",1,"EUS"
