"from","to","weight","language"
"38","41",6,"DEU"
"39","41",1,"DEU"
"1","42",20,"DEU"
"2","42",9,"DEU"
"3","42",13,"DEU"
"4","42",4,"DEU"
"5","42",6,"DEU"
"6","42",2,"DEU"
"7","42",2,"DEU"
"8","42",11,"DEU"
"9","42",1,"DEU"
"10","42",1,"DEU"
"11","42",4,"DEU"
"12","42",1,"DEU"
"13","42",4,"DEU"
"14","42",1,"DEU"
"15","42",2,"DEU"
"16","42",12,"DEU"
"17","42",2,"DEU"
"18","42",10,"DEU"
"19","42",4,"DEU"
"22","42",2,"DEU"
"23","42",5,"DEU"
"24","42",2,"DEU"
"25","42",2,"DEU"
"27","42",6,"DEU"
"28","42",8,"DEU"
"29","42",2,"DEU"
"30","42",2,"DEU"
"34","42",1,"DEU"
"35","42",2,"DEU"
"36","42",5,"DEU"
"37","42",1,"DEU"
"40","42",1,"DEU"
"41","42",5,"DEU"
"1","43",2,"DEU"
"2","43",5,"DEU"
"3","43",3,"DEU"
"4","43",5,"DEU"
"5","43",1,"DEU"
"6","43",11,"DEU"
"8","43",5,"DEU"
"9","43",1,"DEU"
"10","43",2,"DEU"
"11","43",25,"DEU"
"12","43",2,"DEU"
"13","43",1,"DEU"
"14","43",3,"DEU"
"16","43",5,"DEU"
"17","43",3,"DEU"
"18","43",1,"DEU"
"19","43",2,"DEU"
"22","43",2,"DEU"
"23","43",1,"DEU"
"26","43",1,"DEU"
"27","43",1,"DEU"
"29","43",1,"DEU"
"32","43",3,"DEU"
"34","43",2,"DEU"
"35","43",1,"DEU"
"36","43",1,"DEU"
"37","43",4,"DEU"
"40","43",1,"DEU"
"41","43",4,"DEU"
"1","44",4,"DEU"
"2","44",5,"DEU"
"3","44",7,"DEU"
"4","44",2,"DEU"
"5","44",3,"DEU"
"7","44",2,"DEU"
"8","44",3,"DEU"
"11","44",1,"DEU"
"12","44",2,"DEU"
"15","44",1,"DEU"
"16","44",4,"DEU"
"17","44",3,"DEU"
"18","44",3,"DEU"
"22","44",3,"DEU"
"23","44",1,"DEU"
"25","44",3,"DEU"
"26","44",7,"DEU"
"27","44",1,"DEU"
"28","44",4,"DEU"
"30","44",1,"DEU"
"33","44",1,"DEU"
"35","44",1,"DEU"
"37","44",1,"DEU"
"38","44",1,"DEU"
"40","44",1,"DEU"
"42","44",1,"DEU"
"43","44",35,"DEU"
"1","45",13,"DEU"
"2","45",1,"DEU"
"3","45",5,"DEU"
"4","45",4,"DEU"
"5","45",4,"DEU"
"6","45",4,"DEU"
"7","45",7,"DEU"
"8","45",4,"DEU"
"9","45",1,"DEU"
"10","45",8,"DEU"
"11","45",1,"DEU"
"12","45",3,"DEU"
"13","45",2,"DEU"
"15","45",3,"DEU"
"16","45",3,"DEU"
"17","45",24,"DEU"
"18","45",1,"DEU"
"19","45",4,"DEU"
"20","45",3,"DEU"
"21","45",1,"DEU"
"22","45",1,"DEU"
"23","45",7,"DEU"
"24","45",3,"DEU"
"25","45",1,"DEU"
"28","45",1,"DEU"
"31","45",17,"DEU"
"33","45",8,"DEU"
"34","45",2,"DEU"
"35","45",4,"DEU"
"40","45",2,"DEU"
"42","45",2,"DEU"
"43","45",1,"DEU"
"44","45",1,"DEU"
"1","46",17,"DEU"
"2","46",18,"DEU"
"3","46",8,"DEU"
"4","46",6,"DEU"
"5","46",4,"DEU"
"7","46",3,"DEU"
"8","46",10,"DEU"
"9","46",6,"DEU"
"10","46",2,"DEU"
"11","46",2,"DEU"
"12","46",1,"DEU"
"13","46",2,"DEU"
"14","46",2,"DEU"
"15","46",2,"DEU"
"16","46",14,"DEU"
"17","46",1,"DEU"
"18","46",4,"DEU"
"21","46",3,"DEU"
"22","46",5,"DEU"
"23","46",3,"DEU"
"24","46",4,"DEU"
"25","46",1,"DEU"
"27","46",15,"DEU"
"28","46",3,"DEU"
"30","46",1,"DEU"
"31","46",1,"DEU"
"34","46",2,"DEU"
"35","46",1,"DEU"
"36","46",1,"DEU"
"38","46",1,"DEU"
"41","46",2,"DEU"
"42","46",1,"DEU"
"43","46",2,"DEU"
"45","46",1,"DEU"
"46","46",1,"DEU"
"1","47",15,"DEU"
"2","47",3,"DEU"
"3","47",5,"DEU"
"4","47",10,"DEU"
"5","47",3,"DEU"
